#男性,initial_l,67岁到92岁的每年死亡率,g = 0,
时间节点k取值, initial_l
# 17 0.02476399999999994 with minimum difference: 0.00024649649435215526
# 18 0.029932000000000004 with minimum difference: 7.538538868895328e-06
# 19  0.034570100000000006 with minimum difference: 0.00012878860420617588
# 20 0.041792 with minimum difference: 0.00015290451336333333
# 21 0.05033100000000001 with minimum difference: 4.8911807418283715e-05
# 22 0.06205300000000002 with minimum difference: 0.00022867017804442669
# 23 0.088021 with minimum difference: 0.0004278394730262425
# 24 0.1797001999999997 with minimum difference: 0.0032709036100775357


#女性，67岁到92岁的每年死亡率，g = 0：initial_l

# 0 0.00186 0.0018229999999999995 with minimum difference: 8.907739509614321e-05
# 1 0.00211 0.0019710000000000014 with minimum difference: 3.543825586842242e-05
# 2 0.00231 0.0022210000000000008 with minimum difference: 0.00010180949818382884
# 3 0.00251 0.0023940000000000007 with minimum difference: 7.233626690669043e-05
# 4 0.00271 0.0026560000000000004 with minimum difference: 5.415536157164086e-05
# 5 0.00301 0.0029580000000000006 with minimum difference: 0.0001236889588795559
# 6 0.00338 0.003295000000000001 with minimum difference: 5.484201283094403e-05
# 7 0.00371 0.0036460000000000017 with minimum difference: 1.0207246067379938e-05
# 8 0.00445 0.004050000000000001 with minimum difference: 0.00012576440366604547
# 9 0.00451 0.004558 with minimum difference: 1.3195271103411121e-05
# 10 0.00516 0.0050160000000000005 with minimum difference: 0.00018130328519486844
# 11 0.00571 #0.005716000000000001 with minimum difference: 0.0001335029862343448
# 12 0.00661 #0.006465333333333333 with minimum difference: 0.00019326056319737828
# 13 0.00741 #0.007279666666666667 with minimum difference: 0.0004676317662401508
# 14 0.00865 #0.008659999999999992 with minimum difference: 0.00011948695541388887
# 15 0.0108 0.009882999999999994 with minimum difference: 5.113250873284292e-05
# 16 0.012 0.011194 with minimum difference: 0.00010178442069858074
# 17 0.0135 0.013051 with minimum difference: 0.00028929987147198466
# 18 0.0168 0.015634000000000006 with minimum difference: 0.0004422594017763348
# 19 0.0188 0.01882500000000001 with minimum difference: 0.00016509017018710714
# 20 0.024 0.023253000000000003 with minimum difference: 2.5161713484378456e-05
# 21 0.035 0.030451000000000023 with minimum difference: 0.00039592728848560077
# 22 0.05 0.04182400000000002 with minimum difference: 0.00034435512970455717
# 23 0.075 0.06175999999999983 with minimum difference: 1.1772887542824129e-05
# 24 0.15 0.1297179999999997

#女性，50岁到75岁的每年死亡率，g = 0：initial_l
# [0.001155, 0.001233, 0.001407, 0.001604, 0.0017653, 0.001932, 0.002212, 0.002463, 0.002785, 0.003133, 0.0035, 0.0040106,0.004864, 0.005382, 0.006170, 0.007008, 0.008504, 0.010768, 0.01258, 0.015748, 0.0194, 0.0265, 0.0375, 0.0575, 0.111408]

#女性，50岁到75岁的每年死亡率，g = 0.02：initial_l
# 0 0.005535999999999997 with minimum difference: 5.823078096629797e-05
# 1 0.005875000000000001 with minimum difference: 0.00014884522015827517
# 2 0.006421000000000002 with minimum difference: 0.00021230594892369947
# 3 0.006894000000000002 with minimum difference: 0.0001621190395173222
# 4 0.007306999999999999 with minimum difference: 7.627246067412607e-05
# 5 0.007961999999999995 with minimum difference: 0.0002274917027983575
# 6 0.008468000000000002 with minimum difference: 3.4538017857174697e-05
# 7 0.009286999999999995 with minimum difference: 7.85565212643724e-06
# 8 0.010126999999999995 with minimum difference: 2.403241332479822e-05
# 9 0.010806999999999995 with minimum difference: 0.00016597420776029437
# 10 0.011887000000000002 with minimum difference: 0.00011990954898977169
# 11 0.01317899999999999 with minimum difference: 1.3087936968719793e-05
# 12 0.014536999999999996 with minimum difference: 6.270175983066895e-05
# 13 0.015948000000000004 with minimum difference: 0.0001196567082223099
# 14 0.017826 with minimum difference: 0.0004245631725802723
# 15 0.019849000000000006 with minimum difference: 0.00027116132976057195

# 16 0.02227500000000001 with minimum difference: 6.843234365244699e-05
# 17 0.025516999999999998 with minimum difference: 0.00025145086778347037
# 18 0.02901000000000001 with minimum difference: 3.494396784495257e-05
# 19  0.03379100000000003 with minimum difference: 0.0003642024876710226
# 20 0.03921000000000008 with minimum difference: 0.00024707685576669247
# 21 0.04850100000000005 with minimum difference: 5.379316544423807e-05
# 22 0.06178700000000007 with minimum difference: 0.0003530826585857738
# 23  0.08720100000000001 with minimum difference: 0.00012488626806400616
# 24 0.14455800000000005 with minimum difference: 0.0009458089169010198
